10	24005,9852,36441,18707,6541,11692,17639,13131,9317,18891
100	26435,58316,2193,6372,5418,6582,5756,57920,1476,1361
10015	16447,51941,23842,24591,24695
10023	8890,4361,13547,3430,6260,955,17079,5186,2918,48308
10027	45106,34227,37869,29159,29168
10030	55851,58129,41992,18843,27143,29840,11142,24719
10035	9171,20294,33263,15863,33093,38444,14787,35701,24409
10036	47886,43172,43482,34230,48181
10038	29410,32029,24005,44677,16449,51510,9260,9042,32036,11799
10039	10229,2297,46614,52974,39889,38955
10040	14814,5475,11963,19023,12894,57328,29769,4769,3002,20017
10042	125,22559,10490,2264,11890,36566,1328,13513,16414,33726
10045	1654,1359,52628,184,6199,11350
10047	22623,18335,30642,42112,32046,55414,19694,6763,19173
10050	50969,45493,11785,23124,2536,2206,36377,8598,26814,14501
10057	25698,21449,21668,13755,41123
10060	5175,24555,1146,2916,39592,56609,938,37350
10061	11715,20927,1215,8760,2058,5948,8054,14724,38514
10062	15632,42706,15780,22648,26663,27626,22838,14814,54683,2962
10063	28296,35137,14188,292,35452
10065	4113,23825,33263,20587,30077,6469,40911,26781,46795
10066	7991,4772,11460,6331,32313
10067	6711,19916,22555,18850,30124,3053,3056
10068	1654,47886,38906,19202,27555,19200
10069	32643,26670,37358,18643,27808
10071	15808,18596,23549,50830,5113,40723,18013,22086,38563
10072	46901,43066,26814,34033,35118,42761,50448,39626,19436
10076	11715,20927,18943,8760,47731,20286,6233,4020,9260
10080	15632,16258,48208,51652,371,15740,56786,19916,36574,36681
10081	4450,48075,17769,34705,46481,23663,27116
10082	36899,23683,22841,15834,27859,14824,2109,52082,44288
10083	11715,26586,5794,8760,40719,5420,730,22188,18562
10084	181,8890,24966,32768,61294,8172,58488,53689,58027,21059
10085	1204,18891,19184,17639,19695,21633,19694,34101,42126
10087	19250,22515,8624,33992
10088	18094,25357,24522,434,37307,29966,26063,40538,5293
1009	2650,25895,43022,20416,6637,21016,34315,47353,7686
10091	30123,39623,55810,44753,60764,12894,6582,17335,4418,16604
10094	16847,25020,43367,34033,15518,8960,24609,27324,49326
10097	42076,53365,40983,36682,53640,38775,41898,55091,46795
10099	7167,9520,49949,25453,27797
10102	37342,24534,20624,21861,5974,57710,25371,54495,18359,49533
10107	42464,33395,16220,59176,48181
10109	33309,32121,13510,52709,18416,37270,50481
10111	50552,33701,13502,26554,2063,10191,1333,33726
10115	1708,59818,19958,23474,15341
10124	30642,22830,23378,34058,32188,18707,42852,26310,7238,18891
10126	22035,59658,55032,38832,42339
1013	45161,54551,55578,13807,7020,39422,35452
10133	47580,23375,41519,55961,9541
10134	7531,7758,34926,3474,48246
10135	8652,30284,50082,29364,55148
10142	30782,57067,28553,29066,40198
10145	42006,25386,31803,30052,38724,25080,27321,12294,6677,20917
10147	15248,36329,15416,48308,29150,23400,43728,11324,11890
10160	46979,30527,33263,6941,48901,15361,517,46010,41179
10163	8561,48850,4391,57781,49376,36008,26241,23758,15957
10166	29521,24145,23860,24383,27602,48542,28441
10167	51652,50849,1096,18516,39035,2206
1019	3393,13413,56339,24260,43134
10196	61094,14793,2492,23537,35724,48980,11794,16698
1020	34194,8260,2968,18274,30514,18053,1903,40007,8918
10201	27541,28653,50539,27321,27835,47938,48325,43986,44282
10206	56630,3106,27718,56444,20196
10209	15178,15071,15695,1957,55994,22971,19859,16078
10210	14313,13372,1940,7544,34705,47518,27983,48246
10211	16641,632,60044,1375,40618,20855,7739,17639
10216	50552,33701,3405,4779,4361,57257,5733,8890
10217	46259,33712,59197,23620,42126
10221	6623,21044,18029,32817,41594,10657,12974,43677,3144
10227	60232,59979,60552,60524,40454,13011,41547,50481,25847,26429
10228	48277,23767,29066,14433,23762,57067,55604,56222,40198
1023	30332,4089,10497,2007,3180,916,914,22251,19000
10237	1654,19235,8951,50477,20032,28615
10243	49533,17166,21807,37342,49523,45137,20339,32779,9567,32470
10244	6736,37999,16827,12541,40675,11141,40881,9085,30007,59401
10248	8598,13081,8141,2437,41931,32779,11919,2958,38378,20104
10267	23803,34829,16598,35452
10279	7784,9993,52600,27382,1932
1028	5544,1490,3645,8950,10512,11690,11692,37194
10286	5921,2784,10048,34028,7026,42463,14387,3410
10289	12723,34510,11900,50250,14647,393,19201,22773,19436
10304	30123,8454,26649,43,8804,18392,9327,5153,58047,41066
10311	8801,37941,14822,4876,1932
10317	24729,33020,25019,4853,5475
10318	42604,47578,42101,26611,42980,54470,8190,50100,7013,54505
10332	2472,60825,38036,25679,38258,18274,53003,60977,32408,13502
10339	27083,15932,21004,43036,6458,2154,25918,26310,35062,42126
1034	42836,15947,5574,2770,15915,3056,6312,5394,4216,24369
10340	9010,1766,38444,30527,38714,6363
10342	31925,41642,9557,17200,23279,6603,28862,52294
10349	9989,18548,5731,54129,13131,6064,21444,5001,59090,21483
10350	30696,54042,25656,40400,57047
10356	17362,31856,3737,23945,36409
10367	591,27484,59126,34394,59824,16573,5768,48919
10370	2392,12303,3053,7133,6940,16087,39144,23783,28359
10373	36717,12326,60894,37992,60825,9457,57447,56600,52656,29329
10381	15196,46151,22830,13821,25991,48836,17660,15863,5923,48948
10382	23539,7911,5776,26737,8755
1039	31967,55223,9017,35189,11799,34230,36567
104	54548,38168,32223,10266,2472,16939,4756,39895,48082,42431
10408	9180,7136,7882,17230,27522
10419	29495,42427,15433,6625,3217
10430	4549,48842,29114,10939,44573,8661,40172,40059
10432	5990,41356,35603,19200,28818,11945,36717,58167,16842
10439	36102,14717,31843,12350,16326,4491,24695,56319,22906,23635
10441	50232,22599,15031,17752,654,13081,15684
10443	4100,58992,1658,7763,55917,11499,53707,57454,35603,24145
10445	6542,5519,54717,20013,32018,9360,20266,12363
10446	34787,54904,3196,12054,48035,35704
1046	53884,13131,228,9852,9317,682,18068,21161,59090,28808
10487	61121,44337,19676,22597
1049	43870,27714,23762,16592,22818,29066,23545
10495	21483,13463,38014,39446,17639
105	51548,1194,8028,28199,52733,41045,26186,26189,6095
10506	27480,56373,50525,59718,50643,19842
10507	3943,4216,17142,45556,53395,17146,12690,16977,44861
10520	11698,53827,25776,18694,25222,11900,17595,61451,57852,46053
10529	60455,59326,51222,50916,58583,50061,11692,54567
10544	10844,8270,34033,15750,19916,30718,24005,8011,15418,11690
10554	11963,19023,11794,5475,8015,51668,52024,49533,4393,22817
10555	28129,14256,56524,15526,41913,37630,9799,34379,2242
10559	33688,32557,49527,39610,3852
10561	12264,9717,55025,27690,19460
10575	25077,59686,47314,53363,51911,53365,37331,49781
10577	13878,37892,18184,12836,25213,32202,13173,38176,13174,24747
1058	17947,3467,2622,18311,15684,19558,46944,42436,7254,16698
10592	38783,12174,56940,18391,39325,25349,32637,30332
10596	23911,47799,21746,25200,27265,26405,25308,60987,48279,7173
106	4739,7856,14724,2284,1257,12368,6764,57468
1060	3645,1449,1110,1005,39375,19383,13755,41531,5962,25722
10612	834,57526,54182,27265,322,17988,57844,40412,4510
10614	17265,25272,9237,41086,49238
10618	780,2622,18311,15684,1748,59424,59312,46840,13827
1062	25948,59457,45901,10201,15957,47809,58196,8094,3013,57336
10628	7444,21819,12496,4842,38528,10874,10018,14501
10629	46649,4084,18359,1962,40761,11703,20809,55124,2962
1063	27009,27632,23799,35441,27533,28263,36280
10634	17584,17346,4203,55810,17887,4067,17886,49616,10703
10637	25486,42507,36059,44068,55531,39746,42501
10642	29330,44265,29272,48067,20142,54118,44435,36978,3840,48309
10645	9396,960,30763,730,15071,28479,53737,22401,2528,34827
1065	1005,34291,17034,3645,15947,7714,8449,16012,8784,24032
10669	52462,40961,10872,33901,41372,39610
10676	28514,37378,16770,24783,32223
1068	2948,41513,60742,52725,11350
10680	46928,42854,43043,50760,40459,55307,10325,35207,35452
10684	22829,47847,29393,4185,41169,35851,24877,12836,57190
10686	11812,42834,50999
10689	1080,25444,36293,42509,4756
1069	16463,3154,20431,8143,50393,26448,30076,19161,9701
10699	14501,54114,9818,20738,43642,38566,32604,12956,53874,45963
107	2107,32837,5988,20807,4793,3013,4930
10709	14227,15248,23773,10426,15797,19819,28110,36246,2835,8690
1071	5273,20567,28571,720,26121,27751,5974,32929,54466,26796
10711	7194,7181,6981,2472,7379,35041
10715	10226,8124,8918,8694,4031,17060,3645,10703
1072	10757,25390,9317,5662,9727,12841,18392,21586,39180,20857
10723	45749,60552,17660,5047,17910,18376,15507,23525,8516
10731	55374,44020,23764,5328,44086
10743	23987,6978,47222,14501,32166,10721,19914,24030,37294
10746	6582,34291,22848,10201,1962,50827,51103,10403,2962,28567
10751	2622,23595,8174,55438,42732,57328
10754	4804,37216,46025,17311,25438,31,20997,32624,57627,9633
1076	9073,38273,5478,32300,13272,38495,4980,31803
10770	52934,46952,22456,14992,2468,38822
10773	19079,17167,26597,25402,21681,29914,20617
10776	14564,30144,26340,41642,26463
10778	25665,22060,20600,18666,20601,42054
10779	13029,10998,6715,3039,7277
1078	47657,25486,53263,9563,49238
10783	23880,18285,5404,59581,36257,46214,22160,26975,42112,54352
10785	483,13325,1254,41664,18019,59165,34274,1145,41113,60825
10787	2622,11692,11890,3342,31918,51217,5475,8694,21180,18068
10792	44577,18643,32779,12681,57552,16510,20479,37342
10793	22847,15329,3359,20255,3852,6815,30314,30313,14724,36280
10804	9010,33928,5708,14001,38714,1962
10807	32633,56741,32886,41083,32027,28965,36425,52456
10811	25665,36626,39094,33922,45540,47578
10812	345,228,21161,9317,16603,58372,29410,37998,29976
1082	26196,5619,27036,8755,2952,22778,16596,22706,14797
10831	36684,9394,19409,40092,43672,43453,55418,35891,47527,39610
10833	46496,41375,47157,21533,19676,22597
10835	4257,56749,36996,1110,57366
10837	41860,19487,26781,34033,47203,39644,18758,19542,3056
1084	25213,37892,2950,39242,27726,49316,1106,5827,40007,44861
10840	10294,10265,38822,45251,17789,11900,16842,33478,1283,49933
10844	9109,9633,2984,43,8804,18392,40778,12421,4635,40203
10847	24272,41496,27564,11324
10849	49029,21159,46494,17851,26157,54274,47093,26152,25676
1085	3298,5191,10417,15684,49314,9422,21096,41273,16698
10850	27344,30539,26663,41406,38715,46795,55016,26951,28077,34636
10851	60108,26151,5875,57913,17831,13429
10854	13109,40497,21535,31989,30708,50933,20845
10857	29066,57204,47903,40341,17184,40454
10873	36102,6118,16698,12350,9989,37533,17122,28265,30768,38143
10881	34808,39463,14717,51025,43106,55666,13131,44293,11154,2855
10884	25665,35986,20739,26141,46010,26474
10885	36957,24877,40190,31803,4527,13156,38044,16939,29976
10887	16910,20115,22131,20617,52857,27617,49951,48607,36681
10888	2982,33894,53884,17862,17851,54175,5006,49937,33231,25213
