10	12608,2172,1235,1727,12446,1182,1452,216,12492,1393
100	3424,1964,7593,9010
10015	30259
10023	12446,2905
10030	12446,12944
10035	12883
10036	15317
10038	28498,37931
10039	13986,16121
10040	12608,1525,16759,16770
10042	1291,15317
10045	14651
10047	12446,14929
10050	12608,12883,15663,16272,32767
10057	10643
10061	1291,13335
10062	3645
10063	10643
10065	12003
10066	3278
10067	12446,12869
10068	13954,14651
10069	15317
10072	4494
10076	1291,13335
10080	16322,3645
10081	1291,16109
10082	12446,14929
10083	11499,1051
10084	12446,15602
10085	12446,14929
10087	1291,11116
10088	7361
1009	12084
10091	24407,33646
10094	4494
10099	10643
10102	12446,10020
10107	46069
10109	15662
10111	4878
10124	28498,28510,28779,2972
1013	11789
10134	813
10135	12491
10142	12446,15869
10145	34295
10147	1727,17711
10163	3424,3460,5047
10166	13282,15737
10167	1291,11345
10196	7090
1020	1821
10206	10169
10209	24160,22029
10210	8297
10211	10326
10216	4878
10217	12608,1452,16315
10221	11352,19161
10227	12608,36324,54557
10237	13302
10243	13249,11071,1525,3645
10244	32194
10248	10643
10279	8568
10286	1964,2172,22337
10289	17944
10304	17079,3125
10317	16382
10318	35595
10332	1660,16910
10339	58759
1034	2172,32894,34028,34197
10340	1261
10342	10020
10349	24407,9213
10350	11963
10356	16109,16609
10367	1620,16055
10370	17848,26677
10373	476,57984
1039	1964,2513,26600
104	340,5604
10408	1291,15430
10419	7263
10430	2885,29691
10432	10838,11072
10439	14559,16690
10441	12446,4518
10443	23764,23731
10445	13862
1046	2172,12608,1452,1217,1235,2366,2472,2689,30331
10487	16804
1049	1784,27395
105	36710
10507	16095,16725
10554	1291,14809
10555	12950
10559	12287
10575	14488
10577	12446,8890
1058	1784,10043
10592	1315
106	1069
1060	1540,1065
10612	10611
10614	1201
1062	12446,5457
10628	10093
10629	13416
1063	27359,28055
10637	9484
10642	2885,5999,7484,8272
10645	15548,10147
1065	1903
10669	3424,5001,6497
10676	2172,32894,4474,5732
1068	1784,5846
10686	10011
10689	10723
1069	10631,10554
10699	11207
107	1058
10709	12834,16662
1071	4538,3013
10715	1283
1072	2745,2780,3520
10746	17653,22706,26550
10751	17100
10754	16905
1076	16257
10770	33867
10773	13839,14727
10776	12962,14426
10779	12608,1452,16429
1078	36662
10783	28451,28848
10785	12608,1600,1543,1708,10164
10787	1053,1714,33321,8777
10792	17297
10793	24160,24244
10804	1159
10812	17205
1082	10483
10835	1903
1084	6874,7641
10840	1727,17790
10844	1660,22339
10847	11499,11345
1085	2885,5999,6203
10873	216,37492,984
10881	11742
10885	1332
10887	13857
10888	12802
10890	1660,10093
10896	12446,17152
109	1104
10901	12446,16954
10908	10726,18642
10913	12608,2172,32894,19418,13839,40758,4738,48901,59718
10920	6079
10922	1784,3167
10923	16233,17122
10925	1641
1093	6233
10950	1759,1924,1959,40128,46348
10956	22648,41597
10967	6889,7530
10968	10340
1097	11499,26998,28593
10970	9484
10974	33122
10981	16507
10989	6889,7530
1100	2172,12608,2366,24591
11000	12446,7246
11006	12303
11009	17347
1101	15596
11014	1727,10822
1102	36521,39929
11022	15236
11032	15871,17358
11034	10248,15980
11042	12145,19085
11044	1331,1341
11054	15620
11057	6874,7641
11058	11498
11067	3424,1964,2513,5420
11081	12446,18713
11084	5953,5950
111	216,40128,44293,6567,9010
11114	632
11117	12446,7246
1112	2885,5999,8546
11121	1227
11127	14218,10011
11153	1727,2557
11164	14910
11171	12446,15806
11172	17866,12950
11184	12492,55232,6104
11187	17208
11189	17505,17653
11190	12608,2172,16090,29360,12630,34607,34782,34028,34412,35088
112	10244
1120	43070
11209	28498,216,28110,16382,27200,27821,29741,27484,24464,27581
11212	47518
11213	10112
11221	12446,10061
11225	12446,10147
11227	11728
11229	10112
11233	16449
11251	48540,49625,50077
11257	12446,28498,5519,7037,7069
11258	12446,6994
11271	11715,26178
11275	12630
11276	10089
11291	104
11299	10631,10152
113	12608,12446,1756,2905
11301	5830
11311	27594
11331	12446,18526
11335	1964,2172,236,2405,2445
11339	12446,8890
11343	24664,24464,44917,46953,51425,51689,54427,59965
11361	12446,10147
11392	10112
11398	14918
11399	12446,10061
11413	11499,25153,25701
11416	216,11890
11419	18028,18013
11420	17505,17903
11424	16917,18184
11433	12093
11436	1660,18013
1144	17034
11440	18028,18013
11447	13118
11458	7391,7409
11460	6889,7530
11465	1727,15870,17421,1783,17731
11471	2172,12608,3424,6577,6567,7832
11473	17785
11474	28498,10143
11475	17726
11477	40128,44701
11489	18085
11490	18208
11524	10261
11527	14343
11530	16855
11532	10166,17950
11544	7391,7409
1155	10891
11551	1784,4635
11552	16626,18122
11560	2885,40265
11564	10723
11577	12330,18218
11595	18211
116	2172,1971,421,9241
11612	1340
11614	12834,12572
11615	1660,1003
11620	7846,9533
11627	6889,7530
1163	1964,2885,3424,2513,2172,2490,3190,3396,4923,5068
11630	10631,10808
11635	3424,1964,6093,6088
11642	1660,10015
11645	3424,1964,3799,3824
11655	1660,18391
11659	40414
11666	3424,1964,6567,7812
1167	1964,245,3151,10020,3396
11683	12608,1235,2065,2018,1964,1012,1543,21682,20104
11689	10037
11695	10107
11696	28498,30369,476,58623
11720	18121,1109
11724	476,54972
11748	17407
1175	11060,22634
11761	22086,23322
11778	1266
11786	18546
11793	2172,13249,2492,25181
11796	12446,20364
11801	3424,3460,10061
11810	18192,10092
11820	12446,10037
11833	6874,7641
11870	16
11879	16109,11116
11898	12608,1235,12723
119	1452,3097,5827
11907	20209
11910	20366
11913	13074,19438
11916	18662
11921	9410,941
11922	10564
11930	10229
11932	17937
11937	1727,21832,21336,22188,22984
11938	21144
11942	18344
11947	19000,19819
11948	10728
1195	19770
11966	10107
11967	10631,52342
11969	19368,19667
11980	10111
11981	2885,43349
11986	1699,16924
1201	1660,3072
12025	12446,390
12026	12446,10037
12028	6401,6849
1204	12446,17079,3125,7600
1205	3091,10609,2885,10025,3277,2172,32894,2784,5999,32958
12052	19054,18983
12055	13829
1208	26187
12082	12608,1235,1304,12572
12083	18889
121	216,1358,2535,245,3424,3650,7512,904
12100	18917
12107	40128,47440
1211	216,25090,10061
12115	10061
12120	12340
12130	19054,40607
12144	40128,45815
1215	1784,10043
12155	12608,1600,15701,1708,2225
12164	17159
12174	16978
12175	17877,18983
12191	27156
1223	29066
12230	6889,7530
12247	1784,22160
1225	14968
12252	20933
12265	28660,8341
12267	17208
1227	2172,12608,32894,6460,750
1229	15870,1727,2885,10094,3396,10107
12291	10294
12295	12608,19368,19374,614,9864
12304	20927,26597,38388
12311	19176
12315	476,61056
12317	57726
12332	34289,35143,35088,35815
12357	16090,36521,34541,476,44196,49552,55938
12363	19762
12367	12330,15121
12382	1283
12403	17715,18324
12407	11450
12415	14501
12416	10248,49306
12421	28451,28848
12424	12446,19511,19444,9864
12427	16662,10554,10564
12442	28498,36521,40128,32853,28110,16382,35816,40378,38776,42506
12444	26340
12447	19063
12453	216,33371
12461	18462
12464	21680
1248	15325
12483	14918
12495	11861
125	12446,12492,4553
1250	2172,12608,1964,1727,158,2885,245,1756,32894,3396
12520	1620,13343
12528	2172,32894,7708,9267
12531	1784,15870,20670,22025
12539	17583
12550	2885,1660,15146,3015,4540
12556	18194
12570	10698
12571	38846
12577	12608,1452,11071
12582	12446,19511
12584	11799
12586	18944
12589	12446,13599
126	3424,2172,6567,7982
1262	1660,3276
12620	13992,19000,10011
12626	11120
12642	16149,18148
1265	1660,3193
12660	20599
12670	1784,18269
12677	2172,32894,29360,34908,34894,49239,60195
12685	1660,10025
12686	19368,19161
12687	38572
12703	1020
12707	22579,10996
12711	19869,3713
12719	19161,33121
12720	5147
12721	19336
12731	19007
12733	17208
1274	2885,12492,3424,4738,4570,5727,4722,5962,6088,8037
12748	22436
12755	19467
12756	12446,5478
12759	15333
12771	10217
12774	1660,3883
1279	1620,3238
12792	18944
12795	10725
12806	1784,19726
12807	20470
12809	19821
12817	27928,39664
12818	40938
12833	10093
12834	10753
12857	10003
12886	19821,19878
12904	11498
12915	10625
12916	12608,1120,1452,1641
12917	12834,19354
1292	34687,35143
12935	1660,19867
12946	5512,5994
1295	3424,4724,5604
1296	2172,32894,537,7832
12969	12446,13644
12972	17836,17994
12980	18445
1299	1660,3385
12998	20179
13	1053
13001	104
13003	12446,9629
13005	16588,104
13006	2172,32894,28581,33851
13025	19954
13034	19896
13051	51815
13056	1674
1306	1727,2513,1959,2958,3774,7037
13063	3424,27770,43182,59373
13075	7646
13084	18531
1309	2172,1727,1964,2603,4738,3916,7361,9852
13091	6799
13094	1449
1311	16233
13112	1699,16924
13113	12608,1235,12330
13117	5652,9868
13120	2188
13171	10554
13178	10089
13179	12342
1319	955,9664
13194	1660,20279
132	1291
1322	12446,8449,8866
13223	1660,20010
1323	10609,164
13235	2172,12608,1964,2513,2533
1325	9298
13257	20364
13267	27687
13273	15404
13301	9497
13325	2172,12608,1964,1120,11380
13339	16617
